call_id,O-A-overtalk-incidents,O-A-overtalk-ratio,O-C-overtalk-incidents,O-C-overtalk-ratio,O-overtalk-incidents,O-overtalk-ratio,S-A-intra-call-change-in-sentiment,S-A-sentiment,S-call-change-in-sentiment,S-call-sentiment,S-C-intra-call-change-in-sentiment,S-C-sentiment,TST-A-intra-call-change-in-pitch,TST-A-intra-call-change-in-relative-voice-volume-energy,TST-A-relative-voice-volume-energy,TST-A-voice-dynamism-std-dev-score,TST-C-intra-call-change-in-pitch,TST-C-intra-call-change-in-relative-voice-volume-energy,TST-C-relative-voice-volume-energy,TST-C-voice-dynamism-std-dev-score,TTR-A-average-streak,TTR-A-intra-call-change-in-talk-rate,TTR-A-longest-streak,TTR-A-median-streak,TTR-A-talk-rate,TTR-A-talk-ratio,TTR-A-to-C-talk-rate-ratio,TTR-average-streak,TTR-C-average-streak,TTR-C-intra-call-change-in-talk-rate,TTR-C-longest-streak,TTR-C-median-streak,TTR-C-talk-rate,TTR-C-talk-ratio,TTR-longest-streak,TTR-median-streak,TTR-silence-incidents,TTR-silence-ratio
2341,47,0.425185,34,0.206581,81,0.631766,1.054264,0.836066,0.96114,0.842342,0.910345,0.85,0.985964,0.684035,0.951818,5.356988,0.948814,1.095557,0.987786,5.601762,26.922,1.331285,26.922,26.922,182,0.968362,0.962963,33.66,34.334,1.227982,84.812,27.577,189,0.701294,84.812,26.922,0,0.056581
2348,15,0.076288,6,0.011134,21,0.087422,0.892157,0.764706,0.996226,0.818841,1.074074,0.850575,1.005122,0.695727,2.068355,5.811866,1.060284,0.771993,1.280059,8.325131,5.825,1.174675,27.87,3.11,191,0.326073,1.171779,9.317,17.646,1.127029,70.765,9.064,163,0.764649,70.765,5.761,1,0.068868
2361,12,0.153029,10,0.132937,22,0.285966,1.011905,0.792453,1.094634,0.822034,1.114187,0.846154,1.009713,1.278142,2.007987,5.139855,1.006545,1.400636,1.12044,6.513419,32.244,1.214013,101.971,28.345,192,0.607437,1.010526,22.501,15.007,1.083719,61.633,5.99,190,0.686105,101.971,10.284,0,0.025808
2363,70,0.39796,58,0.263916,128,0.661876,1.196,0.816993,1.181896,0.835526,1.149733,0.854305,1.065441,0.908352,1.242695,6.538179,1.05328,1.17413,1.084472,8.598045,21.357,0.971606,37.922,18.432,181,0.932564,1.560345,18.562,17.672,0.825721,51.098,8.597,116,0.77689,51.098,15.703,0,0.06704
2390,24,0.277137,15,0.115006,39,0.392144,1.09375,0.853659,1.092567,0.853503,1.079365,0.853333,0.471254,0.995576,3.48803,9.15998,1.587443,0.866185,1.864458,8.807345,16.067,1.065231,48.911,13.635,170,0.721064,0.923913,14.062,11.856,0.949978,28.717,10.85,184,0.686933,48.911,11.928,0,0.038857
2399,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0.52,0.52,0,0
2409,12,0.148225,13,0.214433,25,0.362658,0.95,0.913043,1.038424,0.887755,1.148325,0.865385,0.841564,1.146712,1.566813,5.284317,0.98123,0.530413,0.666319,3.552283,12.285,0.998056,37.527,9.539,198,0.716131,1.010204,12.308,12.323,0.908712,25.57,11.522,196,0.655458,37.527,10.76,0,0.023885
2418,23,0.410853,18,0.18854,41,0.599393,1.035714,0.852941,1.128707,0.870647,1.288889,0.888889,1.855167,0.806358,1.797306,6.7726,1.009571,1.53051,0.9433,5.024258,30.082,0.96476,80.382,19.896,180,0.940824,0.989011,32.55,34.031,1.454168,91.936,32.106,182,0.702886,91.936,28.358,1,0.068846
2424,17,0.250001,19,0.165549,36,0.41555,1.044898,0.889908,0.948276,0.896341,0.87619,0.890909,0.639338,1.151728,1.814121,6.264134,1.020102,1.221151,0.960604,4.714528,12.177,0.954411,22.991,7.437,151,0.97599,1.006667,10.199,9.818,0.753817,50.984,2.72,150,0.469642,50.984,4.472,0,0.067504
2447,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,2.41,2.41,0,0
2454,19,0.095196,21,0.271741,40,0.366937,0.898438,0.867347,0.913318,0.8375,0.903743,0.790323,2.628106,1.040016,3.960762,11.02659,1.055344,1.17124,1.375692,6.595954,20.229,0.9248,56.495,16.55,177,0.862775,0.84689,12.436,7.89,1.115235,43.764,2.695,209,0.517982,56.495,6.306,0,0.036297
2467,22,0.125341,30,0.409372,52,0.534713,0.638182,0.810127,0.80832,0.84264,0.885417,0.864407,0.99228,0.996092,2.316489,7.291781,0.993334,1.043083,0.633783,5.372379,14.92,0.694224,75.126,12.1,153,0.633937,1.085106,16.492,25.529,1.052475,87.43,6.322,141,0.939572,87.43,11.02,0,0.067646
2478,13,0.300448,25,0.323334,38,0.623782,1.116987,0.815126,1.111741,0.811224,1.085389,0.805195,1.040403,0.748518,1.117962,4.787899,0.945323,0.990954,1.032849,5.805787,2.62,1.021018,2.62,2.62,133,0.982408,0.76,19.302,20.136,0.378947,73.874,12.992,175,0.670904,73.874,12.663,0,0.0452
2498,10,0.024531,5,0.053545,15,0.078076,0.722222,0.794872,0.764368,0.802632,0.833333,0.783784,1.090492,1.433863,1.220211,4.419706,0.943893,1.40733,1.028724,5.184432,9.09,1.015821,26.263,4.516,201,0.458069,1.477941,11.415,14.515,0.885489,48.011,12.21,136,0.625982,48.011,8.174,0,0.071093
2508,11,0.052766,4,0.002368,15,0.055134,0.982222,0.847458,0.998919,0.864583,0.970588,0.864865,1.087998,1.348374,2.533672,7.992753,0.967439,0.849287,1.951521,8.06814,19.403,0.927446,137.752,2.843,142,0.709035,0.916129,16.749,12.768,1.005751,36.482,7.024,155,0.349002,137.752,4.713,0,0.050014
2515,13,0.202387,11,0.26836,24,0.470746,0.979592,0.825,0.904167,0.833333,0.886364,0.826087,0.796752,0.836423,1.517259,4.601147,0.964077,0.787943,1.199138,7.107674,19.999,1.407302,80.067,2.794,138,0.510002,0.802326,19.36,17.57,1.013895,39.985,10.74,172,0.974112,80.067,3.581,0,0.027612
2522,64,0.41396,66,0.42137,130,0.83533,0.998302,0.884146,1.008278,0.878419,1.004348,0.872727,0.572455,1.072151,1.347269,4.499622,0.952598,1.287486,0.731281,7.508879,155.654,1.241778,263.793,155.654,227,0.94219,1.312139,98.629,70.117,0.670842,174.809,51.824,173,0.932411,263.793,74.52,0,0.044902
2536,31,0.207961,28,0.07363,59,0.281591,0.987377,0.936709,0.955466,0.856322,1.004464,0.8,1.025846,0.861587,2.00361,6.427942,1.018971,1.204683,0.844185,4.231599,6.966,0.915873,23.759,5.07,205,0.612806,1.0199,8.378,9.693,0.892035,40.418,5.981,201,0.691032,40.418,5.35,0,0.073219
2553,12,0.080688,11,0.085305,23,0.165993,1.285714,0.755556,1.384286,0.821705,1.440404,0.857143,0.927009,0.426453,3.181754,9.33543,1.097924,0.892302,1.017297,5.257153,6.84,1.290348,20.662,5.681,177,0.35066,1.02907,11.27,19.392,0.997713,66.583,12.721,172,0.82585,66.583,7.438,0,0.059586
2591,12,0.222076,14,0.395868,26,0.617944,1.122807,0.821429,1.103846,0.787879,1.028807,0.763158,1.038289,1.022795,4.487372,10.69099,0.980696,1.204541,1.006825,8.342989,48.949,0.737705,137.19,40.144,220,0.644511,1.176471,47.865,39.19,1.034714,39.19,39.19,187,0.981593,137.19,39.19,0,0.013032
2600,38,0.356937,36,0.163371,74,0.520309,1.073132,0.853846,1.047363,0.84141,1.003968,0.824742,0.693339,0.842572,1.047535,5.07993,1.025072,1.700348,1.260789,6.851538,26.974,0.898948,77.151,12.827,139,0.925131,0.626126,17.872,16.217,1.000889,51.405,14.633,222,0.623757,77.151,12.855,0,0.052067
2622,14,0.074542,16,0.147609,30,0.222151,0.838057,0.746479,0.854167,0.780488,0.860294,0.826923,0.982294,1.027795,1.60279,6.972336,1.007301,1.091459,1.017208,5.884769,9.68,0.846977,29.833,5.668,215,0.607481,1.546763,10.617,11.398,0.922395,51.184,5.867,139,0.629815,51.184,5.668,0,0.063823
2642,9,0.047827,15,0.346933,24,0.39476,0.873563,0.86,0.951923,0.855172,0.959157,0.863158,1.011241,0.989202,1.860795,4.624229,0.590531,0.609919,1.064442,5.98202,14.08,0.864184,29.87,13.415,219,0.456914,1.177419,32.492,69.315,0.845596,139.019,62.936,186,0.941215,139.019,18.111,0,0.008463
2668,20,0.421012,13,0.097965,33,0.518978,0.8,0.714286,0.994375,0.765152,0.933786,0.8,1.054234,1.205623,2.437497,6.821045,0.949923,0.862338,1.601214,8.443871,16.162,0.893081,54.326,6.678,190,0.596111,0.984456,19.831,28.217,1.18368,39.208,30.41,193,0.936596,54.326,13.816,0,0.025554
2697,14,0.182904,13,0.406566,27,0.58947,0.841146,0.802632,0.879171,0.815603,0.864198,0.830769,1.071135,0.834649,3.05418,7.687367,0.967676,0.902523,1.0208,7.743398,25.495,1.115576,98.421,17.601,173,0.830938,1.005814,23.58,22.486,1.097268,105.184,12.521,172,0.768671,105.184,16.515,0,0.01691
2706,9,0.06727,9,0.138666,18,0.205936,1.375,0.816901,1.184729,0.854701,1.020833,0.891304,1.027756,1.033852,3.61425,9.421539,0.971407,1.212788,2.693077,12.51716,22.703,1.047802,123.381,12.475,172,0.802217,0.977273,17.014,11.958,1.120017,58.809,7.542,176,0.414244,123.381,8.674,0,0.048624
2708,29,0.16518,7,0.071225,36,0.236405,0.85786,0.864865,0.901463,0.874074,0.913043,0.885246,0.922554,1.020971,1.450056,5.072747,0.908739,1.021311,0.934326,6.403833,12.556,1.198122,77.524,6.273,167,0.734445,1.128378,14.301,17.169,0.934677,62.344,13.843,148,0.530231,77.524,8.15,1,0.106182
2710,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,3.02,3.02,0,0
2714,8,0.017786,20,0.113802,28,0.131587,0.962406,0.885246,0.94472,0.885246,0.871212,0.901639,0.961125,1.118709,3.045621,9.612101,0.315467,0.93342,0.79464,4.021653,12.607,1.133343,43.864,7.19,167,0.613199,0.994048,12.136,11.642,0.938606,30.014,9.165,168,0.522717,43.864,7.69,0,0.03185
2718,23,0.369964,11,0.018975,34,0.388939,0.851613,0.783505,1.04,0.780645,1.32,0.775862,1.055394,1.269975,0.972847,3.811534,0.914873,1.182052,1.127014,5.200093,26.308,1.454151,73.221,19.894,170,0.864732,0.949721,15.735,7.278,0.895422,49.016,4.002,179,0.541855,73.221,7.97,0,0.048166
2723,37,0.325187,30,0.189532,67,0.514719,1.018519,0.929134,1.022853,0.920502,1.022928,0.910714,2.16379,0.661998,1.025109,4.547442,1.035138,1.224377,0.929156,4.922295,25.148,1.114744,39.386,25.148,158,0.949195,0.728111,18.569,17.942,0.62337,51.976,13.29,217,0.593416,51.976,13.29,0,0.051404
2742,9,0.249064,8,0.189797,17,0.438861,1.066667,0.833333,0.962406,0.830189,0.923077,0.825,1.008362,0.903188,1.206355,2.952681,1.022392,0.992724,2.265905,8.241221,8.168,1.278185,9.88,8.168,162,0.985137,0.848168,19.258,21.476,2.172813,55.95,21.907,191,0.474169,55.95,14.977,1,0.044512
2762,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,1.51,1.51,0,0
2764,30,0.216758,29,0.317027,59,0.533785,0.972222,0.864407,0.981313,0.888889,0.993056,0.929577,0.978088,0.912371,1.912668,5.207927,0.932055,1.200341,1.632082,7.493747,16.149,1.093439,30.832,13.497,168,0.962516,1.012048,12.254,11.697,1.238262,37.288,8.035,166,0.610438,37.288,8.153,0,0.068364
2779,14,0.257611,14,0.127129,28,0.38474,0.666667,0.777778,1.084402,0.809091,1.245059,0.839286,1.100501,1.075284,1.758763,5.50343,0.959674,0.772986,1.217999,7.280588,13.919,0.670296,30.671,11.611,204,0.593781,1.207101,19.161,24.841,0.781991,85.817,13.449,169,0.800134,85.817,12.586,0,0.02329
2782,24,0.336696,19,0.299284,43,0.635979,0.989783,0.857143,1.002187,0.865672,0.981818,0.88,0.953113,2.786726,1.346641,5.893019,0.954794,1.053784,0.962921,4.96224,84.936,1.24084,119.615,84.936,214,0.945194,1.114583,39.268,26.219,1.377242,73.851,20.505,192,0.697976,119.615,25.604,0,0.011181
2784,14,0.35462,15,0.394324,29,0.748943,1.073864,0.825243,1.035156,0.823171,1,0.819672,0.953147,1.211243,1.462622,5.695576,0.959953,1.200895,2.127528,11.17114,2.05,0.977401,2.05,2.05,176,0.978076,0.755365,53.213,59.609,0.825,119.175,55.822,233,0.777525,119.175,52.834,0,0.008699
2791,14,0.2402,8,0.071905,22,0.312105,0.916667,0.722222,0.885417,0.785047,0.907937,0.849057,0.916613,0.811706,3.085731,9.134746,2.476368,1.140405,1.081305,4.931994,24.771,1.133944,65.383,19.305,177,0.787119,0.867647,16.491,8.698,0.804978,34.717,7.632,204,0.535064,65.383,10.61,0,0.03128
2794,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.75,0.75,0,0
2795,62,0.334633,12,0.040843,74,0.375477,0.973631,0.878788,0.960651,0.870466,0.937965,0.861702,0.957124,1.46456,2.339304,7.479158,0.996927,1.643992,0.89915,5.041238,13.687,1.168418,57.48,6.521,160,0.77216,0.993789,12.671,11.236,1.123551,27.821,9.46,161,0.662542,57.48,8.672,0,0.136244
2799,15,0.060256,19,0.11326,34,0.173516,0.917874,0.818182,0.901897,0.76087,0.861284,0.722222,1.020589,0.827161,2.231614,7.378086,1.289325,0.845238,1.345818,5.932429,7.492,1.112798,24.951,4.814,169,0.503113,0.982558,8.977,10.786,1.179711,57.307,6.96,172,0.681449,57.307,6.265,0,0.084999
2800,18,0.526129,9,0.091023,27,0.617152,1.102041,0.914894,1.034595,0.915888,1.010101,0.916667,0.880434,1.289491,2.97299,11.70862,0.940207,0.729663,1.06626,6.082243,13.159,3.25665,42.945,10.358,142,0.720821,0.672986,14.228,18.238,1.076741,43.308,13.807,211,0.92698,43.308,10.818,0,0.047311
2823,1,0.001815,2,0.005609,3,0.007424,0,1,0,1,0,1,0,0,2.02264,5.459617,0,0,1.551654,9.221051,3.3,0,3.3,3.3,80,0.054115,0.373832,30.551,57.802,0,57.802,57.802,214,0.95331,57.802,30.551,0,0
2831,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0.59,0.59,0,0
2839,29,0.213146,27,0.457742,56,0.670889,0.862913,0.848485,0.853093,0.862222,0.940171,0.88172,0.563296,0.61935,2.173416,7.862661,0.928971,0.743224,1.896091,7.481408,30.798,1.103944,48.22,26.953,222,0.957856,1.057143,32.261,32.627,1.435331,107.988,25.997,210,0.723781,107.988,26.322,0,0.015769
2850,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,2.53,2.53,0,0
2884,10,0.257814,29,0.131114,39,0.388928,0.897436,0.781609,0.909091,0.795455,0.873016,0.808989,1.049376,0.799644,1.781083,8.665276,0.916008,0.837472,1.935709,9.1202,18.646,1.169302,64.349,8.49,233,0.711904,1.120192,13.965,9.517,1.186699,54.511,5.346,208,0.69442,64.349,5.876,0,0.042814
2887,16,0.754234,12,0.130645,28,0.884878,0.980603,0.804348,0.975518,0.773913,0.919512,0.753623,1.028807,1.07059,1.954141,7.22005,1.015221,1.111712,1.455348,9.008879,61.161,0.650384,243.489,36.458,128,0.92893,0.630542,57.318,41.949,0.692648,81.877,41.949,203,0.972687,243.489,36.458,0,0.018528
2897,5,0.380257,3,0.034423,8,0.41468,1.6,0.833333,0.93913,0.825397,0.837607,0.814815,0.944646,0.922998,2.291135,6.564834,0.694565,0.613068,2.379731,10.86367,23.925,1.232877,94.559,7.875,144,0.732875,0.774194,17.931,11.937,0.80661,26.449,9.812,186,0.699686,94.559,9.796,0,0.041338
2911,30,0.236158,28,0.132123,58,0.36828,1.006803,0.814516,1.025278,0.832512,1.108374,0.848101,0.945387,0.990659,2.188459,6.755251,0.958815,1.110591,1.575263,7.190844,21.643,0.988619,34.276,24.166,191,0.902925,0.940887,12.938,9.911,1.246987,34.773,6.067,203,0.478848,34.773,7.942,0,0.035344
2915,15,0.337496,11,0.187961,26,0.525457,1.054945,0.891304,1,0.903614,1.076923,0.918919,0.988452,1.387129,2.119445,7.420244,1.017923,0.596056,2.500923,10.0089,29.72,0.961223,74.449,8.63,194,0.923427,0.657627,14.835,9.873,0.926382,26.304,6.601,295,0.633724,74.449,6.834,0,0.056884
2916,16,0.366983,17,0.479917,33,0.8469,0.947917,0.891089,0.969388,0.864198,1.153846,0.819672,0.992323,1.034881,1.647884,7.01773,1.001551,0.902471,1.811572,9.468717,9.22,1.122293,16.04,9.22,180,0.967588,1.132075,55.622,67.223,1.681507,147.522,67.513,159,0.881773,147.522,41.047,0,0.002897
2917,23,0.207593,13,0.058308,36,0.265901,0.973354,0.776596,0.989583,0.780142,0.933333,0.808511,0.974387,0.79208,1.934071,7.311732,0.976038,0.711008,0.903689,5.255319,18.85,1.003856,44.781,14.523,170,0.891634,0.994152,10.861,7.903,0.973831,41.87,4.93,171,0.384966,44.781,5.988,0,0.038681
2920,10,0.117786,22,0.068161,32,0.185946,1.033058,0.887097,1.01773,0.861314,1,0.84,1.028203,1.420105,3.357193,9.650385,0.498927,0.928568,1.731995,8.839916,15.118,0.991904,50.347,11.482,172,0.649401,0.934783,10.481,8.093,1.038373,88.895,2.45,184,0.551843,88.895,5.506,3,0.076015
2933,28,0.271955,56,0.492396,84,0.764351,1.034274,0.85,0.976374,0.840796,0.947318,0.831683,0.93493,0.863455,1.364073,6.154824,0.931248,1.074778,1.188192,9.17564,23.666,1.082959,27.109,23.666,177,0.948172,1.08589,43.715,48.727,0.832436,112.149,51.949,163,0.870386,112.149,38.219,0,0.066222
2936,34,0.231631,25,0.553948,59,0.785579,0.966,0.895652,0.960201,0.888889,0.876923,0.881188,1.054919,0.619166,1.716211,8.597641,1.037279,1.046036,1.670752,8.071437,91.094,1.205182,91.094,91.094,184,0.985457,0.86385,63.847,59.955,1.297688,163.67,52.32,213,0.810348,163.67,55.358,0,0.01285
